lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
8.44821E+20,2014,Jagr-Barkov-Upshall,FLA,line,5on5,1,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.04,0.04,0.17,0.02,0.48,0.26,0.04,0.03,0.03,1,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0.04,0,0,0,0,0,1.76,1,0.89,0,0.01,0,0,0.04,0.04,0.04
8.46949E+20,2014,Maroon-Kesler-Jackman,ANA,line,5on5,7,427,94,0.76,0.67,0.69,6.42,0.4,0.4,1.7,0.21,3.64,2.65,0.39,0.39,0.38,7,2,1,10,1,1,1,2,0,1,4,6,8,0,0,1,5,1,0,8,1,0,0.2,0.2,0,0,1,0,9.86,9,8.94,0,0.08,0.2,0.2,0.28,0.28,0.28,3.09,0.12,0.2,0.61,0.08,1.75,1.24,0.12,0.12,0.12,4,0,1,5,0,0,0,2,0,1,1,4,4,1,2,3,3,0,1,4,0,0,0.12,0,0,0,0,0,4.9,4,3.85,1,0.04,0,0,0.17,0.16,0.16
8.46755E+20,2014,Ryder-Henrique-Bernier,N.J,line,5on5,2,25,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.47123E+20,2014,Stewart-Grigorenko-Stafford,BUF,line,5on5,4,154,44,0.84,0.4,0.5,1.65,0.29,0.12,0.34,0.06,0.68,0.52,0.29,0.28,0.28,2,0,0,2,0,1,0,0,0,1,0,2,2,0,0,0,4,0,3,1,0,1,0.03,0,0.26,0,0,0,1.79,2,1.91,3,0.03,0.26,0.26,0.06,0.05,0.05,1.44,0.06,0.07,0.41,0.04,0.85,0.57,0.06,0.06,0.06,1,1,1,3,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,2,0,0,0.06,0,0,0,0,0,3.17,2,2.1,0,0.01,0,0,0.07,0.07,0.07
8.46749E+20,2014,Condra-Pageau-Neil,OTT,line,5on5,4,1110,18,0.5,0.42,0.58,7.82,0.29,0.39,1.89,0.24,4.51,3.67,0.29,0.29,0.29,8,3,0,11,1,0,0,3,0,2,5,7,10,2,7,14,23,1,0,10,1,0,0.21,0.09,0,1,0,0,11.13,11,10.96,0,0.08,0,0,0.37,0.36,0.36,5.07,0.29,0.28,1.49,0.2,3.41,2.34,0.29,0.28,0.28,7,1,7,15,0,0,0,3,0,1,4,7,8,3,9,9,9,1,0,7,1,0,0.2,0.09,0,0,0,0,15.02,8,7.99,0,0.06,0,0,0.35,0.34,0.34
8.47061E+20,2014,Fehr-Backstrom-Wilson,WSH,line,5on5,1,10,27,1,1,1,0.93,0.2,0.13,0.22,0.04,0.26,0.16,0.2,0.2,0.2,1,0,0,1,0,0,0,0,0,1,0,1,1,2,7,0,0,0,0,0,1,0,0,0.2,0,0,0,0,0.97,1,0.96,0,0.03,0,0,0.22,0.22,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.46948E+13,2014,Gleason-Niskanen,WSH,pairing,5on5,13,645,103,0.92,0.56,0.69,6.86,0.84,0.5,1.43,0.21,3.19,2.83,0.72,0.84,0.73,6,3,0,9,0,2,0,2,0,0,5,6,9,0,0,1,4,3,1,6,1,2,0.21,0.13,0.5,0,0,0,9.09,9,9.14,0,0.11,0.5,0.5,0.45,0.45,0.44,2.9,0.07,0.17,0.68,0.08,1.62,1.37,0.07,0.07,0.07,4,0,3,7,0,0,0,0,0,0,4,4,4,0,0,2,6,0,1,4,0,0,0.07,0,0,0,0,0,6.88,4,4,1,0.03,0,0,0.11,0.11,0.11
8.47472E+20,2014,Gibbons-Johansen-Atkinson,CBJ,line,5on5,4,103,64,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.97,0,0,1,0,0,0,0,0,0,1.39,0.02,0.06,0.43,0.04,0.8,0.65,0.02,0.02,0.02,1,1,1,3,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,2,0,0,0.02,0,0,0,0,0,2.9,2,1.83,0,0.01,0,0,0.03,0.03,0.03
8.47171E+13,2014,Chorney-Pouliot,PIT,pairing,5on5,3,394,33,0.38,0.45,0.5,6.37,0.39,0.43,1.36,0.2,3.81,2.81,0.39,0.43,0.43,6,3,0,9,0,0,0,2,0,3,4,6,9,1,2,3,4,0,3,7,2,0,0.17,0.21,0,0,0,0,10.7,9,10.36,3,0.09,0,0,0.47,0.53,0.53,6.62,0.64,0.47,1.28,0.19,3.68,2.74,0.62,0.57,0.56,7,2,2,11,0,0,0,3,0,4,2,7,9,2,4,2,4,0,3,6,3,0,0.25,0.39,0,0,0,0,9.54,9,7.97,2,0.1,0,0,0.73,0.66,0.64
8.4703E+20,2014,Malone-Nash-Dwyer,CAR,line,5on5,13,905,143,0.47,0.36,0.41,4.93,0.33,0.26,1.42,0.19,2.75,2.04,0.33,0.33,0.33,3,4,1,8,0,0,0,1,1,3,2,3,7,1,2,8,6,4,2,6,1,0,0.25,0.09,0,0,0,0,8.1,7,6.93,0,0.06,0,0,0.39,0.38,0.38,7.04,0.38,0.4,1.7,0.23,4.22,3.07,0.38,0.38,0.38,6,4,4,14,1,0,0,3,0,3,3,5,9,2,4,6,11,3,5,10,0,0,0.38,0,0,1,0,0,14.22,10,9.96,4,0.08,0,0,0.46,0.46,0.46
