,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,playerId3,corsi_influence_on_player2,corsi_influence_on_player_1
1,84774198480860,2021,Bahl-Geertsen,NJD,pairing,5on5,3,762.0,14.0,0.4,0.36,0.29,3.65,0.4,0.21,0.94,0.13,1.99,1.33,0.4,0.4,0.4,4.0,1.0,3.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,7.0,9.0,1.0,0.0,3.0,2.0,0.0,0.12,0.28,0.0,0.0,0.0,0.0,7.64,5.0,4.83,0.0,0.04,0.0,0.0,0.45,0.44,0.44,8.74,0.62,0.46,2.11,0.27,4.85,3.69,0.6,0.64,0.63,7.0,5.0,2.0,14.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,10.0,0.0,0.0,6.0,2.0,1.0,1.0,9.0,3.0,0.0,0.31,0.31,0.0,0.0,2.0,0.0,14.65,12.0,12.42,1.0,0.1,0.0,0.0,0.71,0.74,0.73,8477419,8480860,,-0.11603368845378637,-0.08632562000622601
2,84758258476902,2021,Lindell-Hakanpaa,DAL,pairing,5on5,72,16662.0,352.0,0.46,0.41,0.43,102.76,9.07,6.56,24.89,3.35,54.2,40.93,8.71,9.01,8.66,100.0,39.0,47.0,186.0,9.0,8.0,2.0,27.0,5.0,28.0,62.0,91.0,130.0,17.0,37.0,157.0,167.0,30.0,35.0,96.0,31.0,12.0,2.27,3.54,3.26,2.0,4.0,3.0,186.4,139.0,139.05,22.0,1.37,1.99,1.99,8.44,8.4,8.32,131.94,10.84,8.76,31.48,4.32,73.71,53.89,10.3,10.87,10.29,136.0,47.0,87.0,270.0,8.0,10.0,1.0,35.0,4.0,60.0,66.0,128.0,175.0,18.0,39.0,106.0,124.0,22.0,53.0,137.0,37.0,9.0,3.91,4.19,2.74,3.0,4.0,1.0,269.79,183.0,181.5,30.0,1.8,2.24,2.24,10.4,10.36,10.18,8475825,8476902,,-0.06264475980875772,-0.06725166180033554
5,84779698478507,2021,Pettersson-Marino,PIT,pairing,5on5,66,43147.0,201.0,0.53,0.55,0.55,366.38,26.92,23.54,87.11,11.69,203.97,152.77,25.99,27.52,26.57,374.0,132.0,158.0,664.0,25.0,27.0,5.0,92.0,12.0,156.0,194.0,349.0,481.0,44.0,104.0,303.0,318.0,81.0,87.0,402.0,84.0,20.0,11.7,9.83,5.39,10.0,12.0,3.0,684.28,506.0,518.43,44.0,4.83,4.79,4.79,26.96,27.48,27.01,302.67,24.23,19.66,73.74,10.56,165.91,124.89,23.43,24.11,23.32,298.0,121.0,133.0,552.0,20.0,21.0,3.0,77.0,9.0,123.0,169.0,278.0,399.0,38.0,88.0,289.0,400.0,74.0,83.0,317.0,84.0,18.0,8.88,10.16,5.19,8.0,6.0,6.0,538.82,419.0,413.21,46.0,4.04,4.16,4.46,23.82,23.68,23.38,8477969,8478507,,0.06314495685350685,0.030514929631038523
6,84794028480871,2021,Bean-Boqvist,CBJ,pairing,5on5,26,3844.0,176.0,0.29,0.4,0.38,28.25,1.72,1.61,6.8,0.88,15.44,12.56,1.7,1.69,1.68,27.0,12.0,8.0,47.0,5.0,0.0,0.0,9.0,4.0,5.0,16.0,22.0,34.0,4.0,8.0,29.0,21.0,7.0,15.0,34.0,5.0,0.0,1.12,0.6,0.0,3.0,2.0,0.0,44.99,39.0,37.99,9.0,0.33,0.0,0.0,2.05,2.02,2.0,45.81,4.24,3.1,10.0,1.34,24.74,18.63,4.12,4.47,4.34,50.0,13.0,9.0,72.0,2.0,5.0,0.0,15.0,1.0,18.0,22.0,48.0,61.0,1.0,2.0,29.0,17.0,5.0,8.0,44.0,14.0,5.0,1.3,1.64,1.29,1.0,1.0,0.0,78.09,63.0,67.02,4.0,0.64,1.06,1.06,3.75,3.94,3.89,8479402,8480871,,-0.08746136115491926,-0.08453268479622661
7,84716778479439,2021,Johnson-Macdonald,COL,pairing,5on5,5,1396.0,30.0,0.62,0.65,0.58,12.61,1.01,0.88,2.78,0.4,7.4,5.53,1.0,1.05,1.03,12.0,6.0,10.0,28.0,1.0,1.0,0.0,3.0,0.0,8.0,5.0,11.0,17.0,3.0,9.0,13.0,8.0,1.0,2.0,14.0,3.0,1.0,0.27,0.4,0.34,1.0,0.0,0.0,29.39,18.0,18.4,0.0,0.18,0.34,0.34,0.85,0.88,0.87,9.53,0.61,0.53,2.34,0.3,5.27,3.94,0.61,0.59,0.59,11.0,2.0,2.0,15.0,1.0,0.0,0.0,5.0,0.0,7.0,0.0,10.0,12.0,2.0,7.0,6.0,10.0,6.0,3.0,10.0,2.0,1.0,0.18,0.22,0.21,0.0,1.0,0.0,14.19,13.0,12.53,2.0,0.11,0.0,0.0,0.72,0.69,0.69,8471677,8479439,,0.05816525699414443,0.1632585892479393
11,84745638479998,2021,Anderson-Doughty,LAK,pairing,5on5,36,35275.0,49.0,0.57,0.59,0.59,336.02,27.8,22.43,79.19,10.99,184.36,138.24,26.84,27.94,26.98,341.0,122.0,149.0,612.0,26.0,22.0,5.0,82.0,4.0,125.0,204.0,315.0,437.0,34.0,80.0,278.0,223.0,50.0,64.0,355.0,85.0,23.0,10.57,10.67,6.55,11.0,8.0,7.0,619.3,463.0,467.4,41.0,4.64,5.4,4.78,27.66,27.79,27.42,237.8,21.06,16.33,55.1,7.61,130.11,95.8,20.41,21.45,20.79,238.0,88.0,96.0,422.0,25.0,25.0,5.0,64.0,10.0,87.0,115.0,213.0,301.0,46.0,105.0,285.0,285.0,46.0,83.0,239.0,66.0,21.0,7.57,7.7,5.79,7.0,13.0,5.0,425.9,326.0,329.75,58.0,3.39,4.4,4.64,19.8,20.12,19.87,8474563,8479998,,0.11923182603234406,0.0
14,84768538478408,2021,Rielly-Dermott,TOR,pairing,5on5,28,5256.0,204.0,0.39,0.5,0.46,42.35,3.57,2.93,9.01,1.22,23.43,16.85,3.53,3.45,3.42,42.0,15.0,24.0,81.0,5.0,0.0,0.0,10.0,1.0,12.0,29.0,37.0,52.0,4.0,8.0,36.0,23.0,17.0,23.0,39.0,16.0,2.0,1.26,1.87,0.44,1.0,2.0,2.0,78.01,57.0,55.37,13.0,0.61,0.0,0.0,4.17,4.04,4.0,49.46,5.64,3.48,11.18,1.64,25.21,19.86,5.4,5.92,5.66,49.0,18.0,14.0,81.0,6.0,5.0,3.0,11.0,0.0,21.0,24.0,43.0,61.0,4.0,8.0,35.0,38.0,6.0,23.0,46.0,11.0,10.0,1.2,1.44,2.99,0.0,2.0,4.0,82.98,67.0,69.15,20.0,0.73,1.43,1.34,5.03,5.24,5.11,8476853,8478408,,-0.03335860952543246,-0.04247629592113167
16,84751978477498,2021,Nurse-Barrie,EDM,pairing,5on5,48,18303.0,210.0,0.5,0.5,0.47,163.45,13.78,11.19,38.1,5.22,92.02,67.68,13.18,13.94,13.33,166.0,62.0,81.0,309.0,14.0,10.0,4.0,41.0,5.0,76.0,82.0,152.0,214.0,27.0,54.0,179.0,126.0,33.0,62.0,176.0,42.0,10.0,5.51,5.3,2.96,5.0,5.0,4.0,313.02,228.0,229.8,39.0,2.33,2.65,2.9,13.21,13.32,13.02,183.79,13.91,12.02,44.56,6.1,106.31,76.1,13.54,13.91,13.54,186.0,73.0,51.0,310.0,12.0,16.0,1.0,32.0,8.0,91.0,100.0,174.0,247.0,19.0,38.0,137.0,121.0,45.0,42.0,200.0,55.0,4.0,6.38,6.4,1.13,9.0,2.0,1.0,309.51,259.0,259.55,29.0,2.46,1.74,1.74,14.63,14.63,14.34,8475197,8477498,,-0.05078995460708602,0.0
19,84740318475764,2021,Fowler-Shattenkirk,ANA,pairing,5on5,76,20585.0,348.0,0.54,0.52,0.53,175.84,15.13,11.17,40.73,5.74,93.05,75.17,14.64,15.04,14.56,170.0,71.0,69.0,310.0,20.0,16.0,5.0,40.0,4.0,65.0,96.0,150.0,221.0,16.0,38.0,138.0,122.0,38.0,53.0,180.0,46.0,15.0,5.33,5.74,4.05,6.0,7.0,7.0,305.19,241.0,238.01,28.0,2.31,3.34,3.52,13.93,13.94,13.74,154.57,12.89,10.5,35.24,4.87,88.03,64.48,12.61,12.84,12.57,163.0,53.0,76.0,292.0,12.0,9.0,2.0,38.0,10.0,62.0,85.0,151.0,204.0,19.0,44.0,174.0,108.0,31.0,72.0,161.0,49.0,6.0,5.14,6.04,1.71,5.0,5.0,2.0,290.75,216.0,215.6,35.0,2.17,2.02,2.02,13.05,12.97,12.78,8474031,8475764,,0.013176501450527733,0.0801205506231164
21,84789158481014,2021,Romanov-Niku,MTL,pairing,5on5,8,1081.0,60.0,0.6,0.45,0.56,9.96,0.86,0.69,2.3,0.31,5.8,4.03,0.85,0.89,0.88,10.0,4.0,1.0,15.0,2.0,0.0,0.0,2.0,0.0,4.0,6.0,8.0,12.0,1.0,2.0,8.0,10.0,2.0,3.0,11.0,3.0,0.0,0.46,0.4,0.0,0.0,2.0,0.0,15.56,14.0,14.51,3.0,0.14,0.0,0.0,1.0,1.04,1.03,8.02,0.58,0.47,2.0,0.3,4.4,3.25,0.58,0.6,0.59,9.0,2.0,7.0,18.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,9.0,11.0,1.0,2.0,8.0,12.0,0.0,3.0,9.0,2.0,0.0,0.33,0.25,0.0,0.0,0.0,0.0,18.36,11.0,11.37,3.0,0.1,0.0,0.0,0.68,0.7,0.69,8478915,8481014,,-0.020267952308950732,-0.011224512913457219
