lineId,playerNames,position,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,player1Name,player2Name,corsi_influence_on_player1,corsi_influence_on_player2
84774198480860,Bahl-Geertsen,pairing,3,762.0,14.0,0.4,0.36,0.29,3.65,0.4,0.21,0.94,0.13,1.99,1.33,0.4,0.4,0.4,4.0,1.0,3.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,7.0,9.0,1.0,0.0,3.0,2.0,0.0,0.12,0.28,0.0,0.0,0.0,0.0,7.64,5.0,4.83,0.0,0.04,0.0,0.0,0.45,0.44,0.44,8.74,0.62,0.46,2.11,0.27,4.85,3.69,0.6,0.64,0.63,7.0,5.0,2.0,14.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,10.0,0.0,0.0,6.0,2.0,1.0,1.0,9.0,3.0,0.0,0.31,0.31,0.0,0.0,2.0,0.0,14.65,12.0,12.42,1.0,0.1,0.0,0.0,0.71,0.74,0.73,8477419,8480860,Mason Geertsen,Kevin Bahl,-0.09460902548142386,-0.08632562000622601
84758258476902,Lindell-Hakanpaa,pairing,72,16662.0,352.0,0.46,0.41,0.43,102.76,9.07,6.56,24.89,3.35,54.2,40.93,8.71,9.01,8.66,100.0,39.0,47.0,186.0,9.0,8.0,2.0,27.0,5.0,28.0,62.0,91.0,130.0,17.0,37.0,157.0,167.0,30.0,35.0,96.0,31.0,12.0,2.27,3.54,3.26,2.0,4.0,3.0,186.4,139.0,139.05,22.0,1.37,1.99,1.99,8.44,8.4,8.32,131.94,10.84,8.76,31.48,4.32,73.71,53.89,10.3,10.87,10.29,136.0,47.0,87.0,270.0,8.0,10.0,1.0,35.0,4.0,60.0,66.0,128.0,175.0,18.0,39.0,106.0,124.0,22.0,53.0,137.0,37.0,9.0,3.91,4.19,2.74,3.0,4.0,1.0,269.79,183.0,181.5,30.0,1.8,2.24,2.24,10.4,10.36,10.18,8475825,8476902,Jani Hakanpaa,Esa Lindell,-0.07646828057107391,-0.07315260588168498
84794028480871,Bean-Boqvist,pairing,26,3844.0,176.0,0.29,0.4,0.38,28.25,1.72,1.61,6.8,0.88,15.44,12.56,1.7,1.69,1.68,27.0,12.0,8.0,47.0,5.0,0.0,0.0,9.0,4.0,5.0,16.0,22.0,34.0,4.0,8.0,29.0,21.0,7.0,15.0,34.0,5.0,0.0,1.12,0.6,0.0,3.0,2.0,0.0,44.99,39.0,37.99,9.0,0.33,0.0,0.0,2.05,2.02,2.0,45.81,4.24,3.1,10.0,1.34,24.74,18.63,4.12,4.47,4.34,50.0,13.0,9.0,72.0,2.0,5.0,0.0,15.0,1.0,18.0,22.0,48.0,61.0,1.0,2.0,29.0,17.0,5.0,8.0,44.0,14.0,5.0,1.3,1.64,1.29,1.0,1.0,0.0,78.09,63.0,67.02,4.0,0.64,1.06,1.06,3.75,3.94,3.89,8479402,8480871,Jake Bean,Adam Boqvist,-0.07974166560537632,-0.09610518058051892
84716778479439,Johnson-Macdonald,pairing,5,1396.0,30.0,0.62,0.65,0.58,12.61,1.01,0.88,2.78,0.4,7.4,5.53,1.0,1.05,1.03,12.0,6.0,10.0,28.0,1.0,1.0,0.0,3.0,0.0,8.0,5.0,11.0,17.0,3.0,9.0,13.0,8.0,1.0,2.0,14.0,3.0,1.0,0.27,0.4,0.34,1.0,0.0,0.0,29.39,18.0,18.4,0.0,0.18,0.34,0.34,0.85,0.88,0.87,9.53,0.61,0.53,2.34,0.3,5.27,3.94,0.61,0.59,0.59,11.0,2.0,2.0,15.0,1.0,0.0,0.0,5.0,0.0,7.0,0.0,10.0,12.0,2.0,7.0,6.0,10.0,6.0,3.0,10.0,2.0,1.0,0.18,0.22,0.21,0.0,1.0,0.0,14.19,13.0,12.53,2.0,0.11,0.0,0.0,0.72,0.69,0.69,8471677,8479439,Jack Johnson,Jacob MacDonald,0.041830699626254186,0.1746547354229862
84789158481014,Romanov-Niku,pairing,8,1081.0,60.0,0.6,0.45,0.56,9.96,0.86,0.69,2.3,0.31,5.8,4.03,0.85,0.89,0.88,10.0,4.0,1.0,15.0,2.0,0.0,0.0,2.0,0.0,4.0,6.0,8.0,12.0,1.0,2.0,8.0,10.0,2.0,3.0,11.0,3.0,0.0,0.46,0.4,0.0,0.0,2.0,0.0,15.56,14.0,14.51,3.0,0.14,0.0,0.0,1.0,1.04,1.03,8.02,0.58,0.47,2.0,0.3,4.4,3.25,0.58,0.6,0.59,9.0,2.0,7.0,18.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,9.0,11.0,1.0,2.0,8.0,12.0,0.0,3.0,9.0,2.0,0.0,0.33,0.25,0.0,0.0,0.0,0.0,18.36,11.0,11.37,3.0,0.1,0.0,0.0,0.68,0.7,0.69,8478915,8481014,Sami Niku,Alexander Romanov,-0.05064701730698412,0.009829563277682918
84811228482142,Benoit-Drysdale,pairing,24,863.0,189.0,0.32,0.25,0.26,5.65,0.7,0.33,1.29,0.19,2.3,2.19,0.63,0.69,0.62,6.0,1.0,3.0,10.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,6.0,7.0,0.0,0.0,1.0,5.0,0.0,2.0,4.0,1.0,2.0,0.1,0.09,0.51,0.0,0.0,0.0,9.79,7.0,6.94,1.0,0.07,0.21,0.21,0.57,0.56,0.54,14.67,1.47,0.91,3.45,0.49,7.65,6.03,1.44,1.53,1.5,14.0,6.0,10.0,30.0,2.0,2.0,0.0,3.0,0.0,7.0,6.0,12.0,18.0,0.0,0.0,0.0,7.0,5.0,2.0,15.0,3.0,2.0,0.37,0.34,0.77,1.0,0.0,1.0,31.29,20.0,20.95,1.0,0.19,0.48,0.48,1.18,1.24,1.22,8481122,8482142,Simon Benoit,Jamie Drysdale,-0.21901318863660207,-0.22049977419840439
84757968476525,Pysyk-Miller,pairing,20,2824.0,163.0,0.45,0.49,0.44,23.13,1.46,1.44,5.66,0.71,13.17,9.56,1.41,1.42,1.37,20.0,12.0,15.0,47.0,1.0,1.0,0.0,4.0,0.0,11.0,15.0,19.0,31.0,3.0,6.0,7.0,10.0,4.0,5.0,26.0,5.0,1.0,0.67,0.55,0.24,1.0,0.0,0.0,45.62,32.0,31.33,4.0,0.29,0.18,0.18,1.57,1.54,1.5,29.15,1.76,1.76,7.09,0.88,15.64,12.86,1.72,1.77,1.72,29.0,11.0,8.0,48.0,1.0,2.0,0.0,10.0,2.0,11.0,14.0,28.0,39.0,2.0,4.0,21.0,19.0,2.0,7.0,35.0,3.0,2.0,1.03,0.32,0.41,1.0,0.0,0.0,48.71,40.0,40.56,2.0,0.36,0.41,0.41,1.71,1.72,1.68,8475796,8476525,Mark Pysyk,Colin Miller,-0.003674757358917591,0.015146061826555035
84773468479523,Carlsson-Weegar,pairing,16,2103.0,132.0,0.59,0.65,0.69,25.74,1.85,1.86,5.75,0.85,14.4,11.29,1.81,1.97,1.93,29.0,7.0,15.0,51.0,2.0,1.0,1.0,11.0,0.0,12.0,10.0,27.0,34.0,2.0,4.0,15.0,19.0,7.0,4.0,31.0,4.0,1.0,0.97,0.57,0.31,0.0,1.0,1.0,55.22,36.0,38.05,1.0,0.38,0.31,0.31,1.92,2.01,1.99,12.05,1.27,0.87,3.04,0.48,6.15,4.19,1.23,1.3,1.26,14.0,2.0,11.0,27.0,0.0,1.0,0.0,4.0,0.0,3.0,8.0,14.0,16.0,0.0,0.0,21.0,23.0,7.0,8.0,10.0,5.0,1.0,0.37,0.62,0.28,0.0,0.0,0.0,26.38,16.0,15.83,6.0,0.19,0.28,0.28,1.18,1.2,1.19,8477346,8479523,MacKenzie Weegar,Lucas Carlsson,0.1249750508671641,0.08639289494746083
84793458479982,Chychrun-Timmins,pairing,5,1296.0,36.0,0.68,0.63,0.62,16.97,1.48,1.2,4.01,0.55,9.53,7.24,1.44,1.45,1.4,13.0,11.0,9.0,33.0,0.0,3.0,0.0,3.0,0.0,10.0,8.0,13.0,24.0,2.0,7.0,11.0,6.0,1.0,0.0,19.0,4.0,1.0,0.66,0.52,0.3,0.0,0.0,0.0,30.35,24.0,22.77,0.0,0.25,0.49,0.49,1.24,1.22,1.19,10.77,0.69,0.66,2.74,0.33,6.18,4.4,0.68,0.71,0.71,14.0,1.0,4.0,19.0,2.0,0.0,0.0,4.0,0.0,5.0,4.0,12.0,13.0,3.0,9.0,9.0,4.0,6.0,2.0,13.0,2.0,0.0,0.4,0.28,0.0,2.0,0.0,0.0,21.15,15.0,16.03,1.0,0.13,0.0,0.0,0.82,0.85,0.85,8479345,8479982,Jakob Chychrun,Conor Timmins,0.07309557430687108,0.1429755823372844
84754558477504,Morrissey-Dillon,pairing,55,3134.0,413.0,0.59,0.52,0.6,28.0,2.47,1.81,6.38,0.9,15.95,12.5,2.43,2.43,2.39,29.0,11.0,8.0,48.0,3.0,1.0,0.0,8.0,0.0,13.0,15.0,26.0,37.0,5.0,10.0,3.0,30.0,7.0,6.0,30.0,9.0,1.0,1.07,1.07,0.33,1.0,2.0,0.0,47.83,40.0,39.7,5.0,0.37,0.33,0.33,2.51,2.48,2.46,19.48,1.71,1.35,4.19,0.61,10.96,8.19,1.7,1.72,1.71,18.0,9.0,17.0,44.0,1.0,0.0,0.0,3.0,1.0,10.0,12.0,17.0,26.0,6.0,13.0,0.0,24.0,8.0,9.0,18.0,9.0,0.0,0.6,1.11,0.0,0.0,1.0,0.0,44.02,27.0,26.93,7.0,0.28,0.0,0.0,1.98,1.99,1.99,8475455,8477504,Brenden Dillon,Josh Morrissey,0.030067326030070507,0.021222551043246884
