playerId,playerName,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480990,Declan Chisholm,2,1554.0,32.0,1.05,0.67,0.58,0.62,0.53,0.58,0.53,11.0,2.87,0.07,0.14,0.72,0.08,1.77,1.21,0.07,0.08,0.08,0.0,0.0,4.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,10.01,4.0,4.42,0.0,0.03,0.0,0.0,0.1,0.11,0.11,32.0,2.0,0.0,5.0,25.0,3.0,5.0,2.0,22.0,0.0,0.0,3924.0,0.0,0.0,0.0,1.0,13.45,0.93,0.92,0.99,0.98,14.0,5.0,10.0,29.0,1.0,0.0,0.0,16.0,2.0,1.0,0.47,0.24,0.22,0.0,0.0,1.0,31.73,19.0,20.48,0.17,0.0,0.0,1.1,1.17,1.16,9.86,0.47,0.47,0.45,0.45,10.0,4.0,4.0,18.0,0.0,0.0,0.0,12.0,2.0,0.0,0.21,0.26,0.0,0.0,0.0,0.0,16.52,14.0,12.91,0.13,0.0,0.0,0.59,0.57,0.56,2.73,1.96,61.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0
8480304,Jayden Halbgewachs,3,2218.0,50.0,1.33,0.57,0.51,0.54,0.47,0.58,0.46,21.0,6.14,0.49,0.38,1.25,0.19,3.77,2.93,0.48,0.46,0.46,1.0,0.0,7.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,7.0,9.0,2.0,4.0,0.0,3.0,1.0,1.0,8.0,1.0,0.0,0.31,0.17,0.0,0.0,0.0,0.0,8.67,9.0,8.72,1.0,0.08,0.0,0.0,0.56,0.54,0.53,50.0,6.0,1.0,6.0,37.0,10.0,8.0,6.0,26.0,0.0,0.0,6821.0,4.0,0.0,0.0,0.0,20.73,1.8,1.77,1.73,1.71,22.0,9.0,5.0,36.0,3.0,0.0,0.0,24.0,6.0,1.0,0.81,0.74,0.25,1.0,2.0,0.0,34.57,31.0,30.06,0.28,0.0,0.0,2.08,2.0,1.97,16.24,1.33,1.26,1.37,1.3,16.0,6.0,9.0,31.0,2.0,2.0,0.0,18.0,3.0,1.0,0.65,0.39,0.29,2.0,0.0,0.0,33.1,22.0,22.8,0.24,0.33,0.33,1.24,1.29,1.23,5.33,5.04,85.0,94.0,0.22,0.0,2.0,0.0,1.0,0.0
8482634,Alex Steeves,3,1435.0,40.0,0.65,0.39,0.59,0.47,0.53,0.45,0.54,35.0,3.05,0.36,0.25,0.57,0.09,1.63,1.1,0.36,0.36,0.36,0.0,1.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.19,0.17,0.0,0.0,0.0,0.0,5.39,4.0,4.18,0.0,0.05,0.0,0.0,0.41,0.41,0.41,40.0,3.0,3.0,6.0,28.0,5.0,3.0,7.0,25.0,0.0,0.0,7761.0,0.0,2.0,1.0,1.0,9.67,0.73,0.72,0.74,0.73,9.0,4.0,4.0,17.0,1.0,0.0,0.0,10.0,3.0,0.0,0.39,0.34,0.0,1.0,0.0,0.0,18.18,13.0,13.39,0.13,0.0,0.0,0.86,0.87,0.86,11.25,1.14,1.14,1.18,1.17,11.0,5.0,3.0,19.0,2.0,0.0,0.0,10.0,5.0,1.0,0.29,0.61,0.24,1.0,1.0,0.0,18.72,16.0,16.25,0.16,0.0,0.0,1.31,1.35,1.34,7.26,5.08,132.0,117.0,0.12,0.09,4.0,2.0,4.0,2.0
8480019,Isaac Ratcliffe,10,5824.0,137.0,2.29,0.52,0.51,0.45,0.49,0.47,0.51,100.0,14.44,1.35,1.06,3.74,0.43,7.4,5.02,1.34,1.3,1.29,1.0,0.0,14.0,5.0,2.0,21.0,2.0,1.0,3.0,0.0,3.0,2.0,2.0,8.0,13.0,18.0,5.0,10.0,0.0,16.0,1.0,1.0,14.0,4.0,1.0,0.52,0.59,0.24,0.0,0.0,1.0,20.33,19.0,18.47,1.0,0.23,0.94,0.0,1.58,1.52,1.51,137.0,21.0,12.0,29.0,75.0,15.0,22.0,14.0,86.0,0.0,1.0,23889.0,10.0,0.0,0.0,8.0,42.72,3.4,3.3,3.28,3.19,39.0,18.0,14.0,71.0,2.0,4.0,1.0,45.0,8.0,4.0,1.24,0.98,1.18,0.0,0.0,2.0,68.47,57.0,55.07,0.55,1.03,1.03,2.91,2.8,2.77,45.38,3.09,3.04,3.21,3.17,41.0,23.0,23.0,87.0,3.0,3.0,0.0,51.0,12.0,1.0,1.28,1.49,0.32,1.0,2.0,0.0,89.47,64.0,65.97,0.58,0.45,0.45,3.22,3.36,3.32,18.87,17.98,349.0,367.0,0.13,0.41,2.0,6.0,2.0,4.0
8481604,Pavel Dorofeyev,2,780.0,21.0,-0.43,0.78,0.51,0.35,0.42,0.45,0.45,22.0,0.97,0.31,0.11,0.18,0.02,0.22,0.16,0.31,0.35,0.35,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.31,0.0,0.0,0.0,2.19,1.0,1.15,0.0,0.03,0.0,0.0,0.34,0.38,0.38,21.0,2.0,2.0,3.0,14.0,2.0,4.0,4.0,11.0,0.0,0.0,5277.0,2.0,0.0,0.0,1.0,4.15,0.56,0.56,0.62,0.62,4.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,2.0,1.0,0.03,0.22,0.31,0.0,0.0,0.0,6.61,5.0,5.49,0.08,0.0,0.0,0.64,0.71,0.71,4.27,0.16,0.16,0.15,0.15,4.0,2.0,5.0,11.0,1.0,0.0,0.0,6.0,0.0,0.0,0.16,0.0,0.0,1.0,0.0,0.0,10.07,6.0,5.52,0.04,0.0,0.0,0.2,0.18,0.18,3.96,3.81,73.0,99.0,0.25,0.0,2.0,0.0,1.0,0.0
8476989,Petteri Lindbohm,9,7388.0,166.0,2.43,0.5,0.61,0.53,0.6,0.52,0.61,47.0,11.11,0.58,0.65,3.43,0.4,6.4,4.54,0.57,0.58,0.57,0.0,1.0,9.0,7.0,9.0,25.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,5.0,9.0,16.0,1.0,5.0,0.0,24.0,4.0,8.0,14.0,1.0,1.0,0.22,0.08,0.28,0.0,0.0,0.0,25.5,16.0,16.41,8.0,0.13,0.0,0.34,0.37,0.39,0.39,166.0,24.0,12.0,30.0,100.0,20.0,24.0,27.0,95.0,0.0,0.0,19833.0,5.0,7.0,2.0,8.0,69.71,5.88,5.71,6.17,5.99,64.0,31.0,40.0,135.0,5.0,9.0,1.0,68.0,22.0,5.0,1.79,2.69,1.4,0.0,5.0,0.0,141.57,95.0,99.19,0.99,1.71,1.71,5.16,5.47,5.4,62.71,5.96,5.64,5.75,5.44,73.0,15.0,34.0,122.0,5.0,7.0,0.0,63.0,18.0,7.0,1.91,2.08,1.97,3.0,2.0,0.0,119.31,88.0,85.31,0.9,1.36,1.36,5.5,5.33,5.24,19.7,12.64,374.0,249.0,1.19,0.0,18.0,0.0,16.0,0.0
8480858,Cameron Hillis,1,554.0,14.0,0.0,0.33,0.24,0.44,0.37,0.41,0.33,10.0,1.43,0.03,0.05,0.36,0.04,0.69,0.83,0.03,0.03,0.03,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.97,2.0,1.99,0.0,0.01,0.05,0.0,0.04,0.04,0.04,14.0,0.0,2.0,3.0,9.0,2.0,5.0,2.0,5.0,2.0,2.0,2220.0,0.0,0.0,0.0,0.0,6.72,0.45,0.44,0.47,0.46,8.0,1.0,2.0,11.0,0.0,1.0,0.0,7.0,2.0,0.0,0.19,0.25,0.0,0.0,0.0,0.0,10.89,9.0,9.05,0.08,0.05,0.05,0.48,0.5,0.49,9.38,0.92,0.92,0.9,0.9,10.0,3.0,1.0,14.0,0.0,0.0,0.0,9.0,4.0,0.0,0.37,0.56,0.0,0.0,0.0,0.0,14.27,13.0,12.91,0.14,0.0,0.0,1.06,1.03,1.03,1.3,4.11,28.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8481167,Brayden Pachal,2,1171.0,29.0,0.28,0.69,0.49,0.61,0.52,0.64,0.55,12.0,1.26,0.05,0.08,0.34,0.03,0.89,0.6,0.05,0.05,0.05,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.9,2.0,1.92,1.0,0.02,0.0,0.0,0.07,0.07,0.06,29.0,7.0,0.0,2.0,20.0,5.0,2.0,3.0,19.0,0.0,0.0,4913.0,0.0,0.0,0.0,1.0,11.75,1.05,1.02,1.04,1.01,13.0,3.0,9.0,25.0,0.0,1.0,0.0,11.0,4.0,1.0,0.35,0.44,0.26,0.0,0.0,0.0,23.71,16.0,15.49,0.17,0.26,0.26,0.97,0.96,0.95,7.01,0.47,0.47,0.47,0.47,6.0,3.0,7.0,16.0,2.0,0.0,0.0,5.0,4.0,0.0,0.11,0.37,0.0,0.0,2.0,0.0,16.28,9.0,9.24,0.08,0.0,0.0,0.55,0.55,0.55,3.22,3.31,79.0,74.0,0.0,0.18,0.0,1.0,0.0,1.0
8480007,Jonas Rondbjerg,30,17106.0,406.0,4.93,0.5,0.51,0.46,0.52,0.48,0.54,316.0,30.84,3.49,2.27,6.81,1.03,15.93,11.47,3.36,3.5,3.37,2.0,2.0,29.0,12.0,8.0,49.0,6.0,2.0,2.0,0.0,4.0,2.0,15.0,16.0,27.0,39.0,2.0,4.0,0.0,12.0,8.0,5.0,20.0,19.0,2.0,0.72,2.24,0.52,1.0,1.0,0.0,49.81,41.0,41.79,4.0,0.47,0.56,0.31,3.65,3.67,3.57,406.0,49.0,35.0,63.0,259.0,41.0,59.0,40.0,266.0,0.0,1.0,72774.0,4.0,6.0,3.0,11.0,111.4,10.58,10.21,10.71,10.34,100.0,54.0,56.0,210.0,10.0,4.0,0.0,100.0,47.0,7.0,3.09,5.6,1.89,4.0,4.0,2.0,214.18,154.0,156.62,1.62,0.69,0.69,11.51,11.68,11.41,124.04,10.55,10.07,10.51,10.03,132.0,38.0,80.0,250.0,10.0,10.0,3.0,133.0,27.0,10.0,4.0,3.7,2.86,4.0,4.0,2.0,248.51,170.0,169.0,1.74,2.24,2.24,10.05,9.96,9.66,56.09,52.91,1213.0,1111.0,0.45,0.54,11.0,11.0,10.0,8.0
8482197,Adam Raska,5,2417.0,62.0,0.85,0.67,0.53,0.54,0.56,0.54,0.57,58.0,4.16,0.76,0.28,1.07,0.19,2.16,1.54,0.67,0.71,0.62,0.0,0.0,2.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,2.0,7.0,0.0,15.0,0.0,2.0,3.0,2.0,1.0,0.13,0.31,0.32,0.0,0.0,0.0,6.61,6.0,5.82,0.0,0.06,0.0,0.52,0.29,0.29,0.25,62.0,7.0,0.0,7.0,48.0,11.0,10.0,5.0,36.0,0.0,0.0,12788.0,7.0,11.0,4.0,0.0,20.27,2.46,2.21,2.29,2.06,17.0,10.0,9.0,36.0,1.0,4.0,0.0,16.0,8.0,3.0,0.4,1.06,1.01,0.0,1.0,0.0,33.83,27.0,25.67,0.3,1.21,1.21,1.56,1.47,1.39,17.05,1.22,1.21,1.29,1.28,18.0,5.0,8.0,31.0,0.0,1.0,0.0,18.0,5.0,0.0,0.58,0.65,0.0,0.0,0.0,0.0,32.74,23.0,24.22,0.23,0.13,0.13,1.32,1.4,1.39,10.17,9.0,215.0,172.0,0.04,0.03,2.0,3.0,2.0,2.0
