lineId,playerNames,position,games_played,icetime,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,player1Name,player2Name,goalsFor_per60,dZoneGiveaways_per60,corsi_influence_on_player1,corsi_influence_on_player2,corsi_influence_on_player1_stdDevs,corsi_influence_on_player2_stdDevs,combined_corsi_influence,combined_corsi_influence_negative
84758258476902,Lindell-Hakanpaa,pairing,72,16662.0,0.46,0.41,0.43,102.76,9.07,6.56,24.89,3.35,54.2,40.93,8.71,9.01,8.66,100.0,39.0,47.0,186.0,9.0,8.0,2.0,27.0,5.0,28.0,62.0,91.0,130.0,17.0,37.0,157.0,167.0,30.0,35.0,96.0,31.0,12.0,2.27,3.54,3.26,2.0,4.0,3.0,186.4,139.0,139.05,22.0,1.37,1.99,1.99,8.44,8.4,8.32,131.94,10.84,8.76,31.48,4.32,73.71,53.89,10.3,10.87,10.29,136.0,47.0,87.0,270.0,8.0,10.0,1.0,35.0,4.0,60.0,66.0,128.0,175.0,18.0,39.0,106.0,124.0,22.0,53.0,137.0,37.0,9.0,3.91,4.19,2.74,3.0,4.0,1.0,269.79,183.0,181.5,30.0,1.8,2.24,2.24,10.4,10.36,10.18,8475825,8476902,Jani Hakanpaa,Esa Lindell,1.9445444724522865,4.753330932661145,-0.07315260588168504,-0.07606117798647499,2.44198460227022,2.3800373883596273,-0.14921378386816003,0.14921378386816003
84757968477462,Hagg-Pysyk,pairing,42,20841.0,0.44,0.46,0.46,146.97,10.72,9.76,35.32,5.1,83.85,60.25,10.58,10.84,10.7,154.0,51.0,72.0,277.0,8.0,10.0,1.0,40.0,3.0,58.0,86.0,146.0,197.0,12.0,24.0,125.0,112.0,41.0,38.0,164.0,37.0,4.0,5.22,4.33,1.18,1.0,5.0,2.0,276.9,205.0,205.45,16.0,2.0,1.25,1.25,11.47,11.59,11.51,173.95,13.41,11.76,42.32,5.75,98.94,70.83,12.46,13.35,12.43,182.0,61.0,80.0,323.0,12.0,15.0,1.0,36.0,6.0,82.0,92.0,170.0,231.0,12.0,26.0,137.0,122.0,34.0,43.0,190.0,40.0,13.0,5.2,4.76,3.45,7.0,4.0,1.0,321.96,243.0,242.48,19.0,2.42,3.39,3.54,12.28,12.31,11.94,8475796,8477462,Mark Pysyk,Robert Hagg,1.3818914639412694,2.7637829278825388,-0.02563314442766118,-0.0062492569598097125,3.454061366246882,3.866902368679785,-0.03188240138747089,0.03188240138747089
84799988481600,Anderson-Bjornfot,pairing,27,14531.0,0.52,0.49,0.5,122.3,10.77,8.35,28.78,3.82,66.51,46.78,10.34,10.66,10.22,116.0,49.0,47.0,212.0,10.0,10.0,3.0,30.0,5.0,59.0,51.0,106.0,155.0,13.0,29.0,120.0,89.0,28.0,31.0,126.0,25.0,14.0,3.92,3.09,3.76,3.0,4.0,3.0,210.78,165.0,164.03,27.0,1.74,2.55,2.17,10.34,10.17,9.97,120.38,10.09,8.15,28.34,3.83,65.71,49.88,9.8,10.42,10.12,118.0,48.0,52.0,218.0,8.0,11.0,0.0,34.0,1.0,36.0,76.0,110.0,158.0,20.0,43.0,100.0,136.0,15.0,27.0,124.0,34.0,8.0,3.79,4.16,2.15,3.0,4.0,1.0,221.95,166.0,169.02,21.0,1.68,1.83,1.83,9.94,10.25,10.13,8479998,8481600,Mikey Anderson,Tobias Bjornfot,2.477461977840479,6.689147340169293,-0.0245003615070829,0.010185879141332732,3.4781875502874176,4.216940413131397,-0.01431448236575017,0.01431448236575017
84751818481542,Leddy-Seider,pairing,49,15204.0,0.51,0.47,0.48,122.36,10.81,8.33,29.6,4.05,66.44,49.75,10.31,10.48,10.0,136.0,33.0,50.0,219.0,10.0,11.0,0.0,36.0,6.0,50.0,56.0,126.0,159.0,18.0,39.0,114.0,84.0,29.0,22.0,128.0,28.0,13.0,3.75,3.43,3.64,5.0,5.0,0.0,208.72,169.0,162.2,16.0,1.73,2.69,2.92,9.62,9.33,9.22,132.62,10.59,8.98,30.26,4.22,74.94,55.0,10.34,10.91,10.66,129.0,55.0,64.0,248.0,14.0,8.0,5.0,36.0,5.0,56.0,65.0,115.0,170.0,25.0,57.0,125.0,74.0,33.0,34.0,138.0,40.0,6.0,3.99,4.95,1.65,3.0,6.0,5.0,262.18,184.0,191.66,22.0,1.86,1.6,1.6,10.85,11.19,11.0,8475181,8481542,Nick Leddy,Moritz Seider,2.367797947908445,3.788476716653512,-0.022061816939425827,0.0,3.530124045763804,4.0,-0.022061816939425827,0.022061816939425827
84752278479348,Clague-Wideman,pairing,19,8954.0,0.41,0.46,0.48,60.76,4.37,3.94,14.69,1.98,33.4,24.64,4.13,4.34,4.12,63.0,20.0,24.0,107.0,5.0,8.0,0.0,9.0,1.0,20.0,40.0,58.0,78.0,14.0,31.0,68.0,56.0,10.0,47.0,68.0,12.0,3.0,1.89,1.59,0.89,4.0,1.0,0.0,105.74,83.0,81.81,34.0,0.8,1.0,1.0,4.17,4.14,4.08,66.13,6.15,4.24,16.04,2.15,35.19,27.24,5.95,6.39,6.17,70.0,21.0,33.0,124.0,12.0,5.0,2.0,11.0,3.0,27.0,33.0,58.0,79.0,12.0,27.0,70.0,57.0,17.0,30.0,66.0,16.0,9.0,1.91,1.89,2.35,8.0,3.0,1.0,127.89,91.0,93.83,25.0,0.88,1.22,1.22,5.82,6.02,5.96,8475227,8479348,Chris Wideman,Kale Clague,2.0102747375474648,13.669868215322762,-0.03633913001647593,-0.01248449612403102,3.2260436463829527,3.734103290515752,-0.04882362614050695,0.04882362614050695
84746978479026,Borowiecki-Myers,pairing,15,7457.0,0.39,0.41,0.42,50.23,3.93,3.18,12.7,1.67,28.74,20.78,3.85,4.08,3.99,42.0,29.0,20.0,91.0,5.0,3.0,1.0,10.0,3.0,19.0,31.0,37.0,66.0,10.0,38.0,51.0,109.0,16.0,11.0,56.0,11.0,4.0,1.42,1.35,1.16,2.0,2.0,1.0,95.48,71.0,73.47,5.0,0.66,0.79,1.16,3.44,3.56,3.52,68.01,6.05,4.97,15.85,2.32,39.78,28.04,5.83,5.93,5.71,70.0,27.0,33.0,130.0,4.0,4.0,0.0,19.0,3.0,33.0,34.0,66.0,93.0,10.0,35.0,49.0,66.0,17.0,19.0,73.0,20.0,4.0,2.35,2.51,1.19,3.0,1.0,0.0,126.05,97.0,94.8,14.0,1.03,1.15,1.15,5.93,5.77,5.63,8474697,8479026,Mark Borowiecki,Philippe Myers,2.413839345581333,2.413839345581333,-0.05247964175312558,-0.10720563523855792,2.8822805567452345,1.7167179704408357,-0.1596852769916835,0.1596852769916835
84757968480196,Bryson-Pysyk,pairing,39,7703.0,0.43,0.46,0.45,50.78,3.74,3.51,11.81,1.73,31.24,21.98,3.69,3.67,3.62,48.0,26.0,15.0,89.0,3.0,2.0,1.0,6.0,0.0,22.0,41.0,45.0,71.0,3.0,6.0,54.0,18.0,14.0,24.0,59.0,14.0,1.0,2.02,1.43,0.29,1.0,1.0,1.0,86.83,74.0,72.74,15.0,0.71,0.21,0.21,4.24,4.16,4.11,63.67,4.96,3.93,15.58,2.31,34.35,27.86,4.75,5.12,4.9,73.0,16.0,14.0,103.0,8.0,5.0,1.0,13.0,3.0,18.0,42.0,65.0,81.0,7.0,14.0,52.0,51.0,9.0,19.0,71.0,14.0,4.0,2.28,1.67,1.02,3.0,3.0,2.0,106.0,89.0,91.43,5.0,0.82,0.86,0.86,4.92,5.09,5.03,8475796,8480196,Mark Pysyk,Jacob Bryson,1.4020511489030247,7.010255744515124,-0.024890371046751847,-0.013858830845771164,3.469881067411763,3.7048324992391026,-0.03874920189252301,0.03874920189252301
84740318480001,Vaakanainen-Shattenkirk,pairing,14,6256.0,0.38,0.43,0.41,40.01,3.31,2.97,8.97,1.41,23.14,18.19,3.22,3.19,3.11,45.0,13.0,24.0,82.0,4.0,4.0,2.0,5.0,2.0,18.0,25.0,41.0,54.0,2.0,4.0,38.0,36.0,14.0,19.0,44.0,11.0,3.0,1.34,1.26,0.7,2.0,2.0,0.0,79.76,58.0,56.36,10.0,0.61,0.77,0.77,3.14,3.05,3.02,59.63,5.33,4.23,12.88,1.9,33.31,24.35,5.22,5.62,5.5,58.0,24.0,28.0,110.0,8.0,3.0,0.0,10.0,0.0,25.0,36.0,50.0,74.0,4.0,8.0,42.0,37.0,6.0,24.0,58.0,21.0,3.0,1.78,2.76,0.78,4.0,4.0,0.0,113.94,82.0,85.38,13.0,0.88,0.51,0.51,5.69,5.98,5.92,8474031,8480001,Kevin Shattenkirk,Urho Vaakanainen,2.301790281329924,5.754475703324808,-0.08740399263777748,-0.018105573701401145,2.138456385641735,3.6143847198398045,-0.10550956633917863,0.10550956633917863
84804348481600,Bjornfot-Durzi,pairing,49,35960.0,0.48,0.5,0.5,301.77,25.58,20.29,70.47,9.79,166.21,122.66,24.89,25.56,24.9,295.0,120.0,130.0,545.0,18.0,19.0,0.0,63.0,8.0,152.0,155.0,277.0,397.0,39.0,84.0,266.0,234.0,57.0,86.0,305.0,90.0,20.0,9.57,10.92,5.08,7.0,6.0,5.0,544.9,415.0,414.85,67.0,4.19,3.39,3.13,26.63,26.64,26.22,303.47,27.28,21.15,67.94,9.68,167.25,123.71,26.64,27.47,26.81,286.0,131.0,132.0,549.0,32.0,23.0,4.0,59.0,9.0,106.0,188.0,254.0,385.0,39.0,84.0,276.0,316.0,53.0,79.0,305.0,88.0,24.0,9.82,10.81,6.64,13.0,13.0,6.0,551.09,417.0,417.7,57.0,4.37,4.79,5.0,26.66,26.79,26.46,8480434,8481600,Sean Durzi,Tobias Bjornfot,1.8020022246941043,6.707452725250279,-0.051100540540540584,0.02995368570510981,2.911652865473517,4.637958183236828,-0.021146854835430773,0.021146854835430773
84754558479378,Stanley-Dillon,pairing,39,9641.0,0.38,0.43,0.44,63.88,5.8,4.19,14.68,2.01,34.74,26.59,5.69,5.8,5.69,65.0,23.0,31.0,119.0,4.0,4.0,0.0,14.0,1.0,29.0,36.0,61.0,84.0,7.0,17.0,54.0,80.0,20.0,23.0,64.0,19.0,5.0,1.82,2.3,1.68,1.0,3.0,0.0,118.91,88.0,88.06,17.0,0.87,1.26,1.26,5.41,5.43,5.34,81.09,9.29,5.91,19.02,2.66,43.42,30.7,8.74,9.46,8.9,78.0,33.0,46.0,157.0,7.0,9.0,1.0,11.0,5.0,37.0,42.0,71.0,104.0,8.0,19.0,75.0,69.0,20.0,27.0,68.0,31.0,12.0,2.15,3.84,3.3,3.0,3.0,1.0,160.82,111.0,113.22,20.0,1.24,2.3,2.3,8.23,8.35,8.18,8475455,8479378,Brenden Dillon,Logan Stanley,1.4936209936728555,6.347889223109636,-0.08585329848710205,-0.07076259104292565,2.17148330703165,2.4928875041519714,-0.1566158895300277,0.1566158895300277
