lineId,playerNames,position,games_played,icetime,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,player1Name,player2Name,goalsFor_per60,dZoneGiveaways_per60,corsi_influence_on_player1,corsi_influence_on_player2,corsi_influence_on_player1_stdDevs,corsi_influence_on_player2_stdDevs,combined_corsi_influence
84734468477073,Macdermid-Johnson,pairing,31,7478.0,0.54,0.52,0.5,61.3,5.09,3.8,15.56,2.0,34.3,25.24,5.0,5.16,5.07,65.0,21.0,34.0,120.0,5.0,6.0,0.0,17.0,2.0,27.0,29.0,60.0,81.0,10.0,26.0,46.0,65.0,20.0,12.0,69.0,9.0,8.0,1.71,1.12,2.27,4.0,1.0,0.0,124.72,86.0,88.41,10.0,0.77,1.5,1.5,4.36,4.47,4.41,62.01,4.31,3.72,14.86,2.05,34.25,25.81,4.22,4.15,4.07,61.0,24.0,26.0,111.0,2.0,2.0,0.0,15.0,2.0,26.0,38.0,59.0,83.0,9.0,24.0,57.0,54.0,12.0,11.0,70.0,13.0,2.0,1.98,1.71,0.62,1.0,0.0,1.0,107.06,85.0,82.57,6.0,0.77,0.22,0.22,4.86,4.69,4.62,8473446,8477073,Erik Johnson,Kurtis MacDermid,2.407060711420166,4.814121422840332,0.03773463462978216,0.042488401815455656,3.8036780244848023,3.904924485676914,0.08022303644523782
84742078479458,Holden-Zaitsev,pairing,54,30084.0,0.5,0.48,0.47,233.31,22.36,16.59,53.9,7.66,130.12,92.37,21.71,22.46,21.79,222.0,101.0,112.0,435.0,16.0,23.0,3.0,49.0,6.0,101.0,128.0,206.0,307.0,18.0,45.0,228.0,277.0,54.0,68.0,224.0,77.0,22.0,7.16,9.52,5.68,7.0,4.0,5.0,437.17,323.0,325.62,45.0,3.44,4.2,4.16,21.64,21.72,21.5,263.0,22.4,17.5,61.85,8.43,149.49,109.33,21.8,22.65,22.04,286.0,83.0,110.0,479.0,26.0,16.0,2.0,65.0,3.0,117.0,142.0,260.0,343.0,21.0,51.0,232.0,244.0,38.0,90.0,280.0,71.0,18.0,8.75,8.7,4.95,10.0,10.0,6.0,481.13,369.0,370.01,59.0,3.62,3.53,3.53,22.49,22.65,22.29,8474207,8479458,Nick Holden,Nikita Zaitsev,1.914639010769844,5.384922217790187,-0.0030877230687140766,0.006302842626321026,2.934237201436642,3.134238907048072,0.003215119557606949
84768538480043,Rielly-Liljegren,pairing,41,8694.0,0.62,0.56,0.55,101.62,11.08,7.24,22.73,3.29,54.79,38.88,10.27,11.23,10.39,95.0,43.0,45.0,183.0,17.0,15.0,5.0,20.0,2.0,41.0,43.0,78.0,121.0,8.0,19.0,90.0,59.0,19.0,23.0,94.0,32.0,12.0,3.17,3.97,3.94,4.0,7.0,6.0,186.74,138.0,140.79,12.0,1.51,3.97,3.97,8.62,8.78,8.52,80.66,6.92,5.49,18.44,2.64,45.53,34.97,6.79,6.93,6.8,87.0,27.0,28.0,142.0,13.0,4.0,2.0,22.0,4.0,30.0,41.0,74.0,101.0,12.0,27.0,70.0,73.0,9.0,23.0,80.0,29.0,5.0,2.24,3.38,1.3,4.0,6.0,3.0,140.74,114.0,112.45,17.0,1.14,1.0,1.0,7.06,7.1,6.99,8476853,8480043,Morgan Rielly,Timothy Liljegren,7.0393374741200825,4.968944099378882,0.05830237550106743,0.021073231371958157,4.24173291791959,3.4488209074948784,0.07937560687302558
84745678479984,Foote-Bogosian,pairing,18,6857.0,0.56,0.51,0.54,57.97,4.86,4.31,12.74,1.97,33.18,22.93,4.55,5.01,4.67,58.0,22.0,11.0,91.0,4.0,3.0,0.0,12.0,6.0,23.0,32.0,54.0,76.0,12.0,24.0,46.0,84.0,10.0,10.0,60.0,17.0,3.0,1.95,2.04,0.87,1.0,2.0,1.0,94.33,80.0,82.17,5.0,0.89,0.74,0.74,5.01,5.09,5.01,47.5,3.85,3.27,10.67,1.58,27.18,20.45,3.77,3.91,3.84,49.0,18.0,22.0,89.0,3.0,3.0,0.0,20.0,3.0,17.0,21.0,46.0,64.0,6.0,12.0,51.0,57.0,13.0,5.0,48.0,18.0,1.0,1.52,1.98,0.35,1.0,2.0,0.0,88.26,67.0,66.91,1.0,0.67,0.56,0.56,3.96,4.03,4.01,8474567,8479984,Zach Bogosian,Cal Foote,2.1000437509114778,2.6250546886393464,0.02905206887004763,0.01524747996898429,3.618755409870815,3.3247431623512615,0.04429954883903192
84740138477950,Cole-Deangelo,pairing,36,8660.0,0.53,0.58,0.57,90.33,6.61,5.78,22.07,2.98,51.65,37.91,6.48,6.66,6.52,84.0,43.0,44.0,171.0,12.0,5.0,0.0,24.0,2.0,44.0,40.0,72.0,115.0,17.0,34.0,77.0,51.0,17.0,36.0,101.0,23.0,3.0,2.97,2.75,0.9,6.0,5.0,1.0,175.05,127.0,129.33,23.0,1.19,1.18,0.92,6.88,6.94,6.83,68.67,5.81,4.29,17.18,2.25,36.89,27.58,5.74,5.79,5.73,68.0,26.0,32.0,126.0,4.0,5.0,0.0,14.0,2.0,33.0,36.0,64.0,90.0,15.0,28.0,81.0,87.0,18.0,32.0,70.0,19.0,5.0,2.12,2.46,1.23,1.0,3.0,0.0,123.44,94.0,92.56,17.0,0.89,0.93,0.93,5.76,5.79,5.76,8474013,8477950,Ian Cole,Tony DeAngelo,4.988452655889145,9.56120092378753,0.06992292881444928,0.08913501083263675,4.489229241176635,4.898411104843882,0.15905793964708603
84756908478430,Kylington-Tanev,pairing,73,63308.0,0.57,0.54,0.54,558.85,45.93,36.67,133.78,18.18,318.42,233.02,44.76,47.01,45.8,563.0,223.0,267.0,1053.0,56.0,32.0,6.0,136.0,23.0,216.0,323.0,507.0,730.0,58.0,119.0,589.0,403.0,123.0,196.0,595.0,154.0,37.0,17.38,18.2,10.35,22.0,24.0,10.0,1086.07,786.0,805.4,97.0,7.55,6.58,6.56,46.93,47.93,47.3,476.67,33.96,30.79,116.86,15.33,268.91,200.16,33.22,33.63,32.92,470.0,196.0,219.0,885.0,35.0,21.0,4.0,131.0,18.0,201.0,260.0,435.0,631.0,55.0,109.0,553.0,435.0,133.0,187.0,535.0,114.0,17.0,15.32,13.66,4.98,12.0,18.0,5.0,864.21,666.0,654.31,123.0,6.32,4.53,4.53,35.74,35.35,34.88,8475690,8478430,Christopher Tanev,Oliver Kylington,3.184431667403804,5.515890566753017,0.043115775255802846,0.05001326114727195,3.91828638124313,4.065190091575933,0.0931290364030748
84768548479325,Lindholm-Mcavoy,pairing,10,8031.0,0.65,0.6,0.64,99.93,9.37,6.71,22.96,3.35,55.66,40.96,8.93,9.29,8.85,107.0,32.0,24.0,163.0,12.0,8.0,4.0,21.0,0.0,43.0,55.0,95.0,127.0,11.0,22.0,93.0,56.0,14.0,20.0,97.0,32.0,10.0,2.6,3.68,3.09,3.0,4.0,5.0,166.5,139.0,140.3,9.0,1.39,2.52,2.52,8.24,8.17,7.93,57.22,5.09,3.88,13.78,2.01,31.38,22.86,4.89,5.16,4.96,57.0,22.0,29.0,108.0,3.0,5.0,1.0,20.0,1.0,19.0,31.0,54.0,76.0,13.0,26.0,58.0,63.0,28.0,30.0,59.0,16.0,4.0,1.76,2.28,1.05,1.0,1.0,1.0,106.27,79.0,78.47,9.0,0.81,0.67,0.86,5.04,5.11,5.04,8476854,8479325,Hampus Lindholm,Charlie McAvoy,5.37915577138588,4.034366828539411,0.07876844655866821,0.043973459287930616,4.67762243209966,3.9365534670473363,0.12274190584659883
84770188479639,Hutton-Coghlan,pairing,34,11315.0,0.47,0.52,0.53,95.18,6.55,6.31,23.15,3.19,55.82,40.98,6.34,6.47,6.26,94.0,42.0,44.0,180.0,8.0,6.0,0.0,18.0,5.0,51.0,48.0,86.0,128.0,25.0,59.0,92.0,92.0,34.0,26.0,110.0,23.0,3.0,3.05,2.77,0.74,6.0,2.0,0.0,179.28,136.0,135.06,9.0,1.3,0.95,0.95,6.9,6.87,6.72,87.11,7.39,5.77,20.9,2.72,48.88,35.34,7.17,7.43,7.2,93.0,28.0,44.0,165.0,5.0,5.0,3.0,14.0,4.0,51.0,42.0,88.0,116.0,22.0,53.0,89.0,117.0,33.0,21.0,87.0,29.0,5.0,2.08,3.72,1.59,1.0,2.0,2.0,165.07,121.0,121.07,9.0,1.18,1.37,1.37,7.21,7.17,7.06,8477018,8479639,Ben Hutton,Dylan Coghlan,2.545293857711003,2.863455589924879,0.03021835243383314,-0.01597498067832559,3.643595095738409,2.6597624161807416,0.01424337175550755
84768548482142,Lindholm-Drysdale,pairing,60,55420.0,0.48,0.5,0.5,448.27,33.29,29.73,108.55,15.2,257.69,190.53,32.3,33.23,32.24,452.0,183.0,193.0,828.0,33.0,34.0,3.0,105.0,9.0,194.0,260.0,419.0,602.0,57.0,124.0,419.0,252.0,91.0,139.0,506.0,105.0,24.0,14.84,12.3,6.16,15.0,13.0,5.0,825.6,635.0,633.09,79.0,6.13,5.61,5.52,33.89,33.75,33.26,453.81,35.73,30.56,107.36,14.98,261.43,192.95,34.86,35.97,35.08,473.0,170.0,197.0,840.0,38.0,29.0,1.0,134.0,22.0,172.0,248.0,435.0,605.0,66.0,148.0,449.0,330.0,94.0,168.0,497.0,121.0,25.0,14.55,14.5,6.68,17.0,19.0,2.0,848.8,643.0,649.0,89.0,6.3,5.47,5.47,36.56,36.69,36.18,8476854,8482142,Hampus Lindholm,Jamie Drysdale,2.143630458318297,5.131721400216528,-0.02440791367916917,0.0688808492028784,2.480156518277556,4.467034870095533,0.044472935523709234
84702818480803,Keith-Bouchard,pairing,50,25773.0,0.51,0.55,0.55,250.53,21.78,16.23,60.1,8.21,137.28,105.4,21.2,22.11,21.51,264.0,85.0,126.0,475.0,26.0,17.0,7.0,55.0,10.0,111.0,130.0,238.0,323.0,28.0,59.0,217.0,177.0,73.0,100.0,261.0,64.0,24.0,7.47,7.67,6.63,4.0,11.0,11.0,487.44,349.0,356.66,67.0,3.36,3.9,3.9,21.24,21.51,21.24,208.93,20.72,14.46,47.8,6.87,112.26,83.9,19.69,20.84,19.82,206.0,80.0,109.0,395.0,15.0,14.0,1.0,43.0,8.0,83.0,123.0,191.0,271.0,26.0,57.0,202.0,190.0,58.0,105.0,197.0,67.0,22.0,6.99,7.77,5.96,5.0,8.0,2.0,390.66,286.0,285.54,71.0,3.01,2.75,2.75,20.98,21.12,20.5,8470281,8480803,Duncan Keith,Evan Bouchard,3.631707600977768,9.358631125596554,0.03272292734712534,0.006231493943472444,3.6969379156235713,3.1327193118792325,0.038954421290597785
