playerId,playerName,games_played,icetime,onIce_corsiPercentage,offIce_corsiPercentage,timeOnBench,on_off_corsi_diff,OnIce_F_goals_per60,OnIce_A_goals_per60,I_F_dZoneGiveaways_per60,I_F_giveaways_per60,average_TOI,I_F_hits_per60,I_F_takeaways_per60,I_F_points_per60,shotsBlockedByPlayer_per60,I_F_oZoneShiftStarts_per60,I_F_dZoneShiftStarts_per60,I_F_neutralZoneShiftStarts_per60,I_F_flyShiftStarts_per60,I_F_primaryAssists_per60,I_F_secondaryAssists_per60,I_F_goals_per60
8480990,Declan Chisholm,2,1554.0,0.62,0.53,3924.0,0.08999999999999997,2.3166023166023164,0.0,0.0,2.3166023166023164,777.0,2.3166023166023164,2.3166023166023164,0.0,2.3166023166023164,4.633204633204633,0.0,11.583011583011581,57.91505791505792,0.0,0.0,0.0
8480304,Jayden Halbgewachs,3,2218.0,0.54,0.47,6821.0,0.07000000000000006,4.869251577998197,3.2461677186654643,1.6230838593327321,1.6230838593327321,739.3333333333334,4.869251577998197,1.6230838593327321,1.6230838593327321,0.0,9.738503155996394,1.6230838593327321,9.738503155996394,60.054102795311096,1.6230838593327321,0.0,0.0
8482634,Alex Steeves,3,1435.0,0.47,0.53,7761.0,-0.06000000000000005,2.5087108013937285,5.017421602787457,0.0,0.0,478.3333333333333,2.5087108013937285,7.526132404181184,2.5087108013937285,2.5087108013937285,7.526132404181184,7.526132404181184,15.052264808362368,70.24390243902438,0.0,2.5087108013937285,0.0
8480019,Isaac Ratcliffe,10,5824.0,0.45,0.49,23889.0,-0.03999999999999998,1.2362637362637365,1.8543956043956045,0.6181318681318683,0.6181318681318683,582.4,9.890109890109892,0.6181318681318683,1.2362637362637365,4.945054945054946,12.980769230769232,7.417582417582418,17.925824175824175,46.3598901098901,0.6181318681318683,0.0,0.6181318681318683
8481604,Pavel Dorofeyev,2,780.0,0.35,0.42,5277.0,-0.07,0.0,4.615384615384616,0.0,0.0,390.0,0.0,9.230769230769232,0.0,4.615384615384616,9.230769230769232,9.230769230769232,13.846153846153847,64.61538461538461,0.0,0.0,0.0
8480858,Cameron Hillis,1,554.0,0.44,0.37,2220.0,0.07,0.0,0.0,0.0,0.0,554.0,0.0,0.0,0.0,0.0,0.0,12.99638989169675,19.494584837545126,58.48375451263537,0.0,0.0,0.0
8481167,Brayden Pachal,2,1171.0,0.61,0.52,4913.0,0.08999999999999997,0.0,6.148590947907771,3.0742954739538857,3.0742954739538857,585.5,6.148590947907771,3.0742954739538857,0.0,3.0742954739538857,21.520068317677197,0.0,6.148590947907771,61.485909479077705,0.0,0.0,0.0
8480007,Jonas Rondbjerg,30,17106.0,0.46,0.52,72774.0,-0.06,2.104524728165556,2.104524728165556,0.8418098912662224,1.052262364082778,570.2,2.525429673798667,1.6836197825324448,1.2627148368993335,2.3149772009821117,10.312171168011226,7.365836548579447,13.258505787443001,54.5071904594879,0.4209049456331112,0.4209049456331112,0.4209049456331112
8482197,Adam Raska,5,2417.0,0.54,0.56,12788.0,-0.020000000000000018,1.4894497310715762,0.0,0.0,2.9788994621431524,483.4,22.341745966073645,0.0,0.0,0.0,10.426148117501036,0.0,10.426148117501036,71.49358709143567,0.0,0.0,0.0
8483397,Marc McLaughlin,11,6721.0,0.49,0.61,24665.0,-0.12,2.1425383127510784,2.678172890938848,0.5356345781877696,1.6069037345633093,611.0,8.034518672816546,1.0712691563755392,1.6069037345633093,1.0712691563755392,11.783960720130933,7.498884094628775,10.712691563755392,56.241630709715814,0.0,0.0,1.6069037345633093
8477631,Brandon Baddock,1,446.0,0.3,0.4,2121.0,-0.10000000000000003,0.0,0.0,0.0,0.0,446.0,40.35874439461883,0.0,0.0,0.0,0.0,0.0,8.071748878923767,72.64573991031389,0.0,0.0,0.0
8480071,Robin Salo,21,18681.0,0.44,0.5,43707.0,-0.06,1.3489641882126224,2.119800867191264,2.312510036935924,2.5052192066805845,889.5714285714286,0.9635458487233017,0.7708366789786414,0.578127509233981,4.432310904127188,7.130239280552433,6.744820941063113,12.333386863658262,51.646057491568975,0.3854183394893207,0.0,0.19270916974466035
8482655,J.J. Moser,43,39609.0,0.42,0.44,88219.0,-0.020000000000000018,2.99931833674165,4.089979550102249,1.5451033855941831,1.9086571233810499,921.1395348837209,2.4539877300613497,0.6362190411270165,0.9997727789138833,4.271756418995683,4.180867984548966,10.724835264712567,14.08770733924108,49.897750511247445,0.45444217223358324,0.27266530334015,0.27266530334015
