,games_played,icetime,onIce_corsiPercentage,offIce_corsiPercentage,timeOnBench,on_off_corsi_diff,OnIce_F_goals_per60,OnIce_A_goals_per60,I_F_dZoneGiveaways_per60,I_F_giveaways_per60,average_TOI,I_F_hits_per60,I_F_takeaways_per60,I_F_points_per60,shotsBlockedByPlayer_per60,I_F_oZoneShiftStarts_per60,I_F_dZoneShiftStarts_per60,I_F_neutralZoneShiftStarts_per60,I_F_flyShiftStarts_per60,I_F_primaryAssists_per60,I_F_secondaryAssists_per60,I_F_goals_per60,average_corsi_influence,total_out_influence
games_played,1.0,0.9978589315307653,0.27379855837988604,0.13849922139760257,0.9993252817780155,0.1679581434569582,0.2614401538808214,-0.11075940238231669,0.09130119389131386,0.09846553720772058,0.6562090432423012,-0.039272531843263486,0.2678945703737449,0.36264264263691137,0.09248787103169862,-0.03340263457959767,0.3105522971941586,0.23621261762580348,-0.475635542649994,0.4549543062218131,0.3785191490125279,0.5018685211324881,0.1308634283591458,0.12619979108317475
icetime,0.9978589315307653,1.0,0.27754500578144936,0.13450110568597298,0.9954220523665144,0.17613842507812444,0.26994361864849026,-0.10582514627168468,0.09360681562271014,0.10263509482940178,0.6974175912973253,-0.05180249738105424,0.2777650257741722,0.37161012919861486,0.08732544756238557,-0.04218765533736844,0.31773450802110703,0.23889944425027176,-0.504898806659926,0.4604232972007627,0.3845528891152174,0.5101230579230591,0.1315663432696547,0.1297491892535182
onIce_corsiPercentage,0.27379855837988604,0.27754500578144936,1.0,0.43820300766336995,0.26993510591912695,0.6637961575744817,0.2681762015102831,-0.16597148524656166,0.032097654790541955,0.09520675408972137,0.20936245491214345,-0.17213636477000527,0.22431408210766773,0.28367616968032805,-0.2619753857661003,0.21560335508835285,-0.1494474505279127,-0.0015686434802250392,-0.18801419539844172,0.26000531313151837,0.21430903774323845,0.23679277498197382,0.7249127880216523,0.6955161508272472
offIce_corsiPercentage,0.13849922139760257,0.13450110568597298,0.43820300766336995,1.0,0.1379932470056828,-0.28139691020475455,0.03927614771764181,-0.10248823715861397,-0.046270834985984034,-0.04007577744343444,0.07020307721072709,0.031338281949168684,-0.018673884642865356,-0.025766143748706383,-0.06626801644363375,0.1631789963727907,-0.07257544176544557,0.09544281429572325,-0.0536255317677262,0.031590621891601625,0.04354031927116179,-0.03486593293526213,0.1554072552403036,0.12379689114511706
timeOnBench,0.9993252817780155,0.9954220523665144,0.26993510591912695,0.1379932470056828,1.0,0.16432923875870528,0.25655637195720066,-0.10968172771555455,0.09151810241570082,0.09801011079929524,0.6370907645456999,-0.033133449944804085,0.26478815124224797,0.35734854961063667,0.09532732234974968,-0.03175472061839543,0.3073720079348009,0.23240542291105912,-0.4591959583104038,0.45146157549640126,0.3742062620019631,0.4969234431388855,0.1267648848726472,0.12120487250295944
on_off_corsi_diff,0.1679581434569582,0.17613842507812444,0.6637961575744817,-0.28139691020475455,0.16432923875870528,1.0,0.26018183183003046,-0.08619596347376353,0.07525626444470432,0.1378286561171748,0.16723250625314148,-0.20072713358038033,0.2684604562720409,0.33058383211343584,-0.24164434639524626,0.10464822528538972,-0.10770382039241258,-0.09151817639872831,-0.1373641992734513,0.25718277412249224,0.21167588964245723,0.26804275865219035,0.6540824695793449,0.6471865214798787
OnIce_F_goals_per60,0.2614401538808214,0.26994361864849026,0.2681762015102831,0.03927614771764181,0.25655637195720066,0.26018183183003046,1.0,0.029719929489400453,0.02515809276427803,0.04820554109177119,0.26448980615530204,-0.12971910503758174,0.22440088273414865,0.6286138736156307,-0.1059086339046742,-0.005841349279852199,0.0063714826925367314,-0.055707374182821665,-0.18709924808089318,0.42025436863478516,0.4572036106240958,0.41943212254851037,0.2381450156559496,0.2510609171059619
OnIce_A_goals_per60,-0.11075940238231669,-0.10582514627168468,-0.16597148524656166,-0.10248823715861397,-0.10968172771555455,-0.08619596347376353,0.029719929489400453,1.0,0.10663484903837686,0.09245336805856089,-0.02762772937875281,0.046858012970246214,0.057373957418790325,0.05464444789180612,-0.009466471921948121,-0.0788989373115451,-0.012526860770898134,-0.04823513300490252,0.09038037567368136,0.004425964355052028,0.04912371106572967,0.016664788688446782,-0.17840360704423064,-0.17468628145727905
I_F_dZoneGiveaways_per60,0.09130119389131386,0.09360681562271014,0.032097654790541955,-0.046270834985984034,0.09151810241570082,0.07525626444470432,0.02515809276427803,0.10663484903837686,1.0,0.9406653047353254,0.07233686061279007,0.016183479128161277,0.19967642948751463,0.08988254438579255,0.03521387485112925,-0.05576592088724543,-0.02304729950572524,-0.043599862542499514,-0.012006213554966082,0.155357928901164,0.0230552802132461,0.12063402558450884,0.010144406187368313,0.06184566199918317
I_F_giveaways_per60,0.09846553720772058,0.10263509482940178,0.09520675408972137,-0.04007577744343444,0.09801011079929524,0.1378286561171748,0.04820554109177119,0.09245336805856089,0.9406653047353254,1.0,0.10098720125517309,-0.028186040730294622,0.25049948435261643,0.1218086020168918,-0.02691741639154571,-0.028179609020116975,-0.06505098847726454,-0.06684720699708666,-0.04193393274310011,0.16860328421830956,0.04159919776783359,0.14675948833683988,0.05000992640396407,0.11744246787893213
average_TOI,0.6562090432423012,0.6974175912973253,0.20936245491214345,0.07020307721072709,0.6370907645456999,0.16723250625314148,0.26448980615530204,-0.02762772937875281,0.07233686061279007,0.10098720125517309,1.0,-0.18976865889712127,0.2824931895171058,0.3291210879866547,-0.00934804107678158,-0.13528637085214942,0.3019878813014915,0.20783172830283725,-0.6775769477239704,0.34763771163403645,0.27962135330252985,0.4070469843668566,0.07511015062709449,0.10932088430645451
I_F_hits_per60,-0.039272531843263486,-0.05180249738105424,-0.17213636477000527,0.031338281949168684,-0.033133449944804085,-0.20072713358038033,-0.12971910503758174,0.046858012970246214,0.016183479128161277,-0.028186040730294622,-0.18976865889712127,1.0,-0.1558220793853329,-0.20462347364364786,0.13252808127395618,-0.15394027021520099,0.09818162538321076,0.009821173716679324,0.18375608540122337,-0.14387153395917318,-0.13115521158354232,-0.10239527416465044,-0.2074564333646182,-0.22314862648681935
I_F_takeaways_per60,0.2678945703737449,0.2777650257741722,0.22431408210766773,-0.018673884642865356,0.26478815124224797,0.2684604562720409,0.22440088273414865,0.057373957418790325,0.19967642948751463,0.25049948435261643,0.2824931895171058,-0.1558220793853329,1.0,0.24906790709246288,-0.06342429425178231,0.01305763927534452,0.03067644942027022,0.009243151229321855,-0.1819201897004158,0.29301202058190245,0.1457879314729885,0.2796138571594241,0.26250044200005135,0.315146312428557
I_F_points_per60,0.36264264263691137,0.37161012919861486,0.28367616968032805,-0.025766143748706383,0.35734854961063667,0.33058383211343584,0.6286138736156307,0.05464444789180612,0.08988254438579255,0.1218086020168918,0.3291210879866547,-0.20462347364364786,0.24906790709246288,1.0,-0.0800815441789364,0.028340955101739417,0.03342141849690784,-0.011185255029386052,-0.27348773422581363,0.6592348800040679,0.7447823212631514,0.5794820186774786,0.29058214998085574,0.3267706146661211
