lineId,playerNames,position,games_played,icetime,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,playerId3,player1Name,player2Name,player3Name
847403784747158476872,Van Riemsdyk-Laughton-Atkinson,line,5,787.0,0.4,0.38,0.31,3.45,0.3,0.25,0.8,0.12,2.05,1.48,0.3,0.32,0.32,4.0,1.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,5.0,6.0,2.0,3.0,4.0,1.0,0.0,0.15,0.15,0.0,1.0,0.0,0.0,10.3,5.0,5.34,2.0,0.05,0.0,0.0,0.35,0.37,0.37,6.98,0.45,0.51,1.57,0.22,5.03,3.22,0.44,0.44,0.43,6.0,5.0,5.0,16.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,6.0,11.0,0.0,0.0,7.0,9.0,2.0,2.0,9.0,2.0,0.0,0.27,0.18,0.0,0.0,0.0,0.0,15.81,11.0,11.09,0.0,0.1,0.0,0.0,0.55,0.55,0.53,8474037,8474715,8476872,James van Riemsdyk,Cam Atkinson,Scott Laughton
847745684774768481618,Lehkonen-Compher-Newhook,line,5,1113.0,0.39,0.44,0.39,8.13,0.8,0.5,2.15,0.25,4.19,3.1,0.77,0.86,0.83,9.0,2.0,5.0,16.0,2.0,1.0,1.0,0.0,0.0,2.0,6.0,7.0,9.0,0.0,0.0,7.0,7.0,4.0,1.0,9.0,1.0,1.0,0.27,0.12,0.4,1.0,0.0,1.0,16.84,11.0,11.5,0.0,0.1,0.4,0.4,0.5,0.53,0.53,12.87,1.23,0.98,3.44,0.4,6.46,4.49,1.17,1.19,1.13,15.0,2.0,3.0,20.0,2.0,3.0,1.0,2.0,0.0,4.0,6.0,13.0,15.0,1.0,2.0,10.0,13.0,3.0,1.0,10.0,6.0,1.0,0.25,0.71,0.26,0.0,1.0,1.0,19.48,17.0,16.35,1.0,0.2,0.48,0.48,0.95,0.9,0.89,8477456,8477476,8481618,J.T. Compher,Artturi Lehkonen,Alex Newhook
847523584758428479351,Deslauriers-Steel-Carrick,line,7,1002.0,0.4,0.46,0.4,6.14,0.46,0.32,1.29,0.18,3.26,2.48,0.46,0.48,0.48,8.0,0.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,7.0,4.0,14.0,6.0,9.0,1.0,2.0,6.0,2.0,0.0,0.21,0.25,0.0,0.0,1.0,0.0,12.3,8.0,8.0,2.0,0.07,0.0,0.0,0.53,0.54,0.54,8.6,0.68,0.51,1.89,0.27,4.56,4.09,0.68,0.69,0.69,10.0,2.0,2.0,14.0,2.0,1.0,0.0,3.0,0.0,3.0,3.0,8.0,10.0,3.0,12.0,8.0,6.0,1.0,0.0,9.0,3.0,0.0,0.27,0.41,0.0,0.0,2.0,0.0,13.86,12.0,11.94,0.0,0.1,0.12,0.12,0.66,0.68,0.68,8475235,8475842,8479351,Nicolas Deslauriers,Sam Carrick,Sam Steel
847906684800378480185,Lomberg-Luostarinen-Heponiemi,line,2,1041.0,0.76,0.68,0.74,12.09,0.75,0.76,2.77,0.41,7.16,5.14,0.72,0.8,0.76,10.0,7.0,4.0,21.0,0.0,2.0,0.0,2.0,1.0,8.0,4.0,10.0,17.0,2.0,4.0,5.0,8.0,4.0,2.0,14.0,3.0,0.0,0.43,0.32,0.0,0.0,0.0,0.0,22.96,17.0,18.09,0.0,0.15,0.18,0.18,0.72,0.77,0.73,4.3,0.23,0.27,1.01,0.14,2.63,1.73,0.23,0.22,0.22,5.0,1.0,4.0,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,5.0,6.0,1.0,2.0,11.0,7.0,0.0,4.0,5.0,1.0,0.0,0.08,0.15,0.0,0.0,0.0,0.0,9.28,6.0,5.61,1.0,0.06,0.0,0.0,0.29,0.27,0.27,8479066,8480037,8480185,Ryan Lomberg,Aleksi Heponiemi,Eetu Luostarinen
847409884779988478585,Foegele-Ryan-Sceviour,line,10,1686.0,0.42,0.46,0.45,13.43,1.03,0.88,2.97,0.45,6.81,5.87,0.97,1.01,0.95,13.0,5.0,8.0,26.0,0.0,1.0,0.0,2.0,0.0,5.0,10.0,13.0,18.0,2.0,7.0,10.0,17.0,5.0,1.0,15.0,1.0,2.0,0.42,0.11,0.51,0.0,0.0,0.0,25.59,18.0,17.81,1.0,0.18,0.26,0.26,0.95,0.94,0.93,16.49,1.44,0.96,3.86,0.52,8.56,6.65,1.42,1.51,1.49,21.0,1.0,8.0,30.0,3.0,0.0,0.0,8.0,0.0,6.0,5.0,18.0,19.0,3.0,9.0,14.0,14.0,6.0,6.0,16.0,4.0,2.0,0.42,0.46,0.56,2.0,0.0,1.0,31.32,22.0,22.93,5.0,0.2,0.0,0.0,1.64,1.72,1.7,8474098,8477998,8478585,Colton Sceviour,Warren Foegele,Derek Ryan
847464184788668479944,Aston-Reese-Henrique-Simon,line,4,1431.0,0.6,0.56,0.55,17.79,2.11,1.19,3.88,0.58,9.35,6.91,2.01,2.02,1.93,19.0,5.0,6.0,30.0,3.0,4.0,1.0,3.0,0.0,5.0,9.0,16.0,21.0,1.0,2.0,17.0,7.0,5.0,3.0,13.0,8.0,3.0,0.28,1.17,0.65,1.0,2.0,0.0,28.13,24.0,22.7,2.0,0.25,0.75,0.75,1.61,1.56,1.55,14.14,1.41,0.93,3.15,0.46,8.24,5.81,1.37,1.44,1.39,17.0,3.0,4.0,24.0,1.0,0.0,0.0,4.0,0.0,11.0,4.0,16.0,19.0,0.0,0.0,16.0,5.0,5.0,3.0,13.0,6.0,1.0,0.48,0.72,0.2,0.0,1.0,0.0,25.93,20.0,21.32,2.0,0.19,0.0,0.0,1.6,1.64,1.59,8474641,8478866,8479944,Adam Henrique,Dominik Simon,Zach Aston-Reese
847647984796758481560,Moore-Danault-Kaliyev,line,14,4683.0,0.64,0.66,0.64,54.43,4.39,3.74,13.11,1.71,30.16,21.88,4.34,4.28,4.23,53.0,22.0,23.0,98.0,2.0,6.0,1.0,14.0,2.0,25.0,26.0,51.0,73.0,5.0,10.0,46.0,26.0,9.0,5.0,57.0,15.0,3.0,1.6,1.8,0.99,1.0,0.0,1.0,94.95,75.0,72.97,4.0,0.78,1.24,1.24,3.93,3.82,3.79,31.53,2.48,2.21,6.66,0.97,17.55,13.14,2.45,2.53,2.51,30.0,13.0,7.0,50.0,1.0,0.0,0.0,9.0,1.0,8.0,24.0,29.0,42.0,4.0,8.0,38.0,46.0,3.0,9.0,33.0,10.0,0.0,1.22,1.25,0.0,1.0,0.0,0.0,51.27,43.0,43.77,6.0,0.46,0.0,0.0,2.94,3.0,2.97,8476479,8479675,8481560,Phillip Danault,Trevor Moore,Arthur Kaliyev
847121784740628474849,Roussel-Nash-Ladd,line,3,979.0,0.27,0.23,0.25,5.36,0.26,0.27,1.29,0.15,2.74,2.28,0.26,0.25,0.25,4.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,7.0,0.0,0.0,11.0,8.0,6.0,4.0,6.0,1.0,0.0,0.15,0.12,0.0,0.0,0.0,0.0,7.9,7.0,6.93,3.0,0.05,0.0,0.0,0.32,0.3,0.3,14.54,0.73,0.91,4.05,0.52,8.28,6.5,0.71,0.75,0.73,10.0,11.0,6.0,27.0,0.0,3.0,0.0,4.0,0.0,8.0,6.0,10.0,21.0,2.0,4.0,6.0,12.0,4.0,1.0,19.0,2.0,0.0,0.48,0.25,0.0,0.0,0.0,0.0,26.92,21.0,21.12,1.0,0.19,0.22,0.22,0.7,0.73,0.72,8471217,8474062,8474849,Andrew Ladd,Riley Nash,Antoine Roussel
847574584757918480021,Hall-Coyle-Studnicka,line,4,900.0,0.58,0.56,0.54,9.62,1.03,0.82,1.8,0.31,5.2,3.85,0.96,1.06,0.99,8.0,5.0,6.0,19.0,1.0,1.0,0.0,2.0,0.0,6.0,3.0,7.0,12.0,0.0,0.0,6.0,17.0,1.0,1.0,8.0,4.0,1.0,0.24,0.49,0.3,1.0,0.0,0.0,18.8,13.0,13.03,0.0,0.17,0.3,0.3,0.91,0.93,0.89,7.47,0.75,0.48,1.81,0.29,4.42,3.24,0.75,0.73,0.73,7.0,4.0,4.0,15.0,1.0,1.0,0.0,2.0,0.0,3.0,4.0,6.0,10.0,1.0,2.0,5.0,13.0,1.0,7.0,8.0,3.0,0.0,0.37,0.38,0.0,0.0,1.0,0.0,14.69,11.0,10.83,4.0,0.1,0.07,0.07,0.78,0.77,0.76,8475745,8475791,8480021,Charlie Coyle,Taylor Hall,Jack Studnicka
847354884768518478474,Crouse-Galchenyuk-Kessel,line,19,6417.0,0.25,0.35,0.32,39.25,2.74,2.69,9.52,1.26,23.7,16.1,2.66,2.76,2.68,36.0,20.0,21.0,77.0,4.0,3.0,0.0,8.0,2.0,18.0,21.0,32.0,52.0,14.0,31.0,48.0,47.0,8.0,22.0,43.0,13.0,0.0,1.17,1.57,0.0,1.0,3.0,0.0,76.35,56.0,56.12,11.0,0.56,0.29,0.29,3.0,3.04,2.95,87.84,8.06,6.27,20.59,2.91,48.01,34.16,7.7,8.18,7.82,86.0,34.0,26.0,146.0,6.0,11.0,2.0,27.0,2.0,47.0,27.0,80.0,114.0,6.0,15.0,53.0,32.0,14.0,19.0,85.0,26.0,9.0,2.46,3.29,2.3,2.0,2.0,2.0,148.33,120.0,121.65,9.0,1.3,2.11,2.11,7.25,7.36,7.12,8473548,8476851,8478474,Phil Kessel,Alex Galchenyuk,Lawson Crouse
