lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
8.47897E+13,2022,Coghlan-Chatfield,CAR,pairing,5on5,1,661,3,0.26,0.57,0.5,5.12,0.26,0.28,1.14,0.15,2.61,2.56,0.26,0.29,0.28,4,3,6,13,0,0,0,2,0,1,4,4,7,1,2,6,3,2,0,6,1,0,0.12,0.14,0,0,0,0,14.53,7,7.62,0,0.06,0,0,0.32,0.35,0.35,5.23,0.73,0.41,0.9,0.17,2.63,2.17,0.68,0.64,0.6,6,1,3,10,0,1,0,1,0,3,2,6,7,0,0,4,5,2,1,5,0,2,0.24,0,0.49,0,0,0,8.69,7,6.24,1,0.09,0.28,0.28,0.54,0.47,0.47
8.48171E+13,2022,Jones-Schneider,NYR,pairing,5on5,3,1912,8,0.57,0.5,0.56,14.5,1.42,0.97,3.18,0.47,8.3,5.66,1.33,1.44,1.35,12,8,4,24,0,1,0,2,0,13,4,12,20,2,4,13,17,2,5,14,5,1,0.6,0.5,0.32,0,0,0,26.31,20,20.96,3,0.2,0.32,0.32,1.3,1.31,1.24,12.12,1.09,0.91,2.76,0.35,6.43,4.46,1.08,1.05,1.04,12,4,8,24,1,1,0,3,0,5,6,11,15,0,0,10,9,6,5,10,5,1,0.34,0.53,0.21,0,0,1,22.94,16,15.28,1,0.19,0.12,0.12,1.16,1.11,1.1
8.47642E+13,2022,Reilly-Clifton,BOS,pairing,5on5,3,801,18,0.38,0.47,0.44,9.14,0.45,0.47,2.36,0.32,4.51,3.89,0.44,0.5,0.49,9,3,3,15,1,1,0,3,0,4,3,8,11,2,4,10,7,1,4,11,1,0,0.36,0.09,0,1,0,0,16.96,12,13.36,4,0.1,0.09,0.09,0.46,0.51,0.5,10.99,0.75,0.67,2.42,0.33,5.84,4.99,0.73,0.7,0.68,13,2,2,17,2,1,0,1,0,7,4,11,13,2,4,9,11,2,3,11,3,1,0.22,0.31,0.21,0,2,0,15.77,15,13.91,2,0.14,0.21,0.21,0.67,0.63,0.62
8.47456E+13,2022,Anderson-Doughty,LAK,pairing,5on5,5,4280,7,0.53,0.53,0.53,37.07,3.14,2.43,8.41,1.14,20.49,15.38,2.99,3.22,3.07,39,12,16,67,5,2,0,10,2,19,13,34,46,4,8,42,25,7,10,38,9,4,1.05,1.02,1.07,3,1,1,68.1,51,51.8,4,0.49,0.58,0.58,3.06,3.14,3.11,33.34,2.75,2.17,8.18,1.08,18.38,13.45,2.54,2.68,2.48,35,11,14,60,4,4,0,7,1,18,12,31,42,6,12,29,36,3,7,34,9,3,0.97,0.87,0.91,1,2,1,58.49,46,45.1,5,0.45,0.65,0.65,2.55,2.5,2.32
8.4752E+13,2022,Orlov-Jensen,WSH,pairing,5on5,4,3221,6,0.46,0.56,0.49,26.22,2.09,1.81,6.18,0.94,14.71,10.27,1.95,2.01,1.87,28,8,19,55,2,2,1,8,1,15,8,26,34,3,6,25,28,9,6,27,7,2,0.78,0.75,0.56,1,1,0,53.31,36,35.14,5,0.37,0.56,0.66,1.81,1.76,1.71,27.37,2.42,1.76,6.32,0.83,14.5,11.18,2.34,2.44,2.37,26,11,7,44,2,2,0,6,1,13,13,24,35,3,6,27,31,5,13,29,5,3,1,0.59,0.82,1,1,0,44.76,37,37.66,7,0.36,0.55,0.55,2.24,2.25,2.2
8.47579E+13,2022,Werenski-Gudbranson,CBJ,pairing,5on5,4,951,19,0.28,0.27,0.26,5.64,0.42,0.4,1.68,0.21,2.9,2.39,0.41,0.39,0.39,7,1,3,11,0,1,0,1,0,2,4,7,8,0,0,9,6,3,1,7,0,1,0.21,0,0.21,0,0,0,10.53,8,7.65,0,0.08,0.21,0.21,0.29,0.27,0.27,16.09,1.05,1.11,3.94,0.53,9.93,6.43,1.01,1.07,1.02,17,6,7,30,1,2,1,3,0,12,5,16,22,0,0,8,6,6,3,20,2,1,0.52,0.27,0.26,1,0,0,30.1,23,23.16,0,0.23,0.28,0.28,1,1,0.97
8.47345E+13,2022,Girard-Johnson,COL,pairing,5on5,3,1608,8,0.59,0.54,0.58,13.38,1.02,0.8,3.36,0.42,7.49,5.91,1,1.09,1.07,15,4,8,27,1,1,0,4,0,7,6,14,18,2,4,9,14,1,3,16,2,1,0.41,0.18,0.43,1,0,0,28.65,19,19.78,3,0.16,0.43,0.43,0.76,0.8,0.78,9.83,0.7,0.69,2.66,0.42,5.49,4.05,0.69,0.68,0.67,9,5,9,23,0,2,0,2,0,3,7,9,14,2,4,14,10,3,1,11,3,0,0.34,0.35,0,0,0,0,22.38,14,13.63,0,0.15,0.06,0.06,0.78,0.76,0.75
8.4717E+20,2022,Oshie-Kuznetsov-Mantha,WSH,line,5on5,2,1008,6,0.38,0.45,0.38,4.38,0.45,0.26,1.06,0.13,2.38,1.72,0.45,0.44,0.44,2,4,4,10,0,0,0,1,0,2,3,2,6,1,2,7,7,2,1,4,1,1,0.12,0.11,0.22,0,0,0,10.08,6,6.19,1,0.06,0,0,0.5,0.5,0.5,7.94,0.72,0.49,2.1,0.38,3.59,2.72,0.72,0.76,0.76,8,2,2,12,1,1,0,1,0,1,6,7,9,0,0,8,6,3,4,7,2,1,0.18,0.27,0.27,1,0,0,12.17,10,10.29,1,0.1,0.27,0.27,0.56,0.57,0.57
8.47846E+13,2022,Werenski-Blankenburg,CBJ,pairing,5on5,1,692,1,0.48,0.58,0.64,6.66,0.67,0.43,1.77,0.23,3.52,2.39,0.64,0.61,0.58,7,2,2,11,0,1,0,2,0,3,3,7,9,2,4,7,3,2,4,6,2,1,0.2,0.18,0.29,0,0,0,9.92,9,8.1,3,0.09,0.29,0.29,0.47,0.43,0.42,3.73,0.74,0.18,0.9,0.14,1.7,1.34,0.69,0.82,0.76,4,1,3,8,1,1,1,1,0,0,2,3,4,0,0,9,0,3,1,2,2,1,0.03,0.17,0.53,0,0,1,9.08,5,5.64,1,0.04,0.53,0.53,0.24,0.27,0.27
8.47456E+20,2022,Stamkos-Point-Kucherov,TBL,line,5on5,4,1122,18,0.58,0.47,0.55,8.88,0.8,0.6,2.19,0.33,4.72,3.36,0.8,0.85,0.84,10,2,4,16,1,1,0,2,0,3,5,9,11,1,2,1,7,4,3,7,5,0,0.2,0.61,0,0,1,0,17.23,12,12.78,1,0.12,0.02,0.02,0.91,0.96,0.96,7.22,0.58,0.47,1.63,0.23,4.29,2.81,0.57,0.56,0.55,8,2,8,18,0,0,0,1,0,4,5,8,10,1,2,10,7,5,3,7,3,0,0.24,0.34,0,0,0,0,18.21,10,10.06,1,0.1,0,0,0.67,0.66,0.64
